,elements,counts,charges,total_charge,formula
173,"['Ca', 'O']","[1, 1]","[2, -2]",0,CaO
174,"['Mo', 'O', 'H']","[1, 4, 2]","[6, -2, 1]",0,Mo(HO2)2
175,"['O', 'Mn']","[1694479359798149/562949953421312, 2]","[-2.0, 0.0]",-6.02,Mn2O3.01
176,"['Tm', 'O']","[2, 3]","[3, -2]",0,Tm2O3
177,"['W', 'O']","[1, 3]","[6, -2]",0,WO3
178,['Au'],[1],[0],0,Au
179,['Cl'],[2],[0],0,Cl2
180,"['S', 'O', 'H']","[1, 4, 2]","[6, -2, 1]",0,H2SO4
181,['Np'],[1],[0],0,Np
182,"['Yb', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Yb(NO3)3
183,"['Ta', 'O']","[2, 3]","[3, -2]",0,Ta2O3
184,"['Tl', 'C', 'O']","[2, 1, 3]","[1, 4, -2]",0,Tl2CO3
185,"['Pr', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Pr(NO3)3
186,"['Nb', 'O']","[2, 5]","[5, -2]",0,Nb2O5
187,"['Er', 'F']","[1, 3]","[3, -1]",0,ErF3
188,"['Mg', 'O', 'C', 'C', 'H']","[1, 4, 2, 2, 6]","[2.0, -2.0, 4.0, -4.0, 1]",0,MgH6(CO)4
189,"['Sr', 'P', 'O']","[1, 2, 6]","[2, 5, -2]",0,Sr(PO3)2
190,"['H', 'O', 'W', 'N']","[40, 41, 12, 10]","[1, -2.0, 6.0, -3.0]",0,(NH4)10W12O41
191,"['Ca', 'Cl']","[1, 2]","[2, -1]",0,CaCl2
192,"['Cu', 'F']","[1, 2]","[2, -1]",0,CuF2
193,"['O', 'N', 'H', 'P']","[4, 1, 6, 1]","[-2.0, -3.0, 1, 5.0]",0,PH6NO4
194,"['O', 'Ce', 'C', 'C', 'H']","[6, 1, 3, 3, 9]","[-2.0, 3.0, 4.0, -4.0, 1]",0,CeH9(CO)6
195,"['Sr', 'C', 'O']","[2, 1, 3]","[2, 2, -2]",0,Sr2CO3
196,"['Mg', 'Cl']","[1, 2]","[2, -1]",0,MgCl2
197,"['O', 'Mn', 'C', 'C', 'C', 'C', 'H']","[14, 1, 7, 4, 1, 2, 21]","[-2.0, 2.0, 4.0, -4.0, -3.0, -2.0, 1]",0,MnH21(CO)14
198,['Nb'],[1],[0],0,Nb
199,"['Co', 'C']","[1, 1]","[2.0, -2.0]",0,CoC
200,"['Li', 'C', 'O']","[2, 1, 3]","[1, 4, -2]",0,Li2CO3
201,"['Fe', 'P', 'O']","[1, 3, 9]","[3, 5, -2]",0,Fe(PO3)3
202,"['O', 'Na', 'C', 'C', 'H']","[2, 1, 1, 1, 3]","[-2.0, 1, 4.0, -4.0, 1]",0,NaH3(CO)2
203,"['Na', 'S']","[1, 1]","[1, -1]",0,NaS
204,"['H', 'O', 'Pb', 'C']","[2, 8, 3, 2]","[1, -2.0, 2.0, 4.0]",0,H2Pb3(CO4)2
205,"['Ce', 'O']","[1, 2]","[4, -2]",0,CeO2
206,"['P', 'N', 'O', 'H']","[3, 1, 12, 6]","[5, 3, -2, 1]",0,P3H6NO12
207,"['Sb', 'C', 'O', 'H']","[1, 6, 6, 9]","[-3, 1, -2, 1]",0,SbH9(CO)6
208,"['O', 'Co', 'C']","[3, 1, 1]","[-2.0, 2.0, 4.0]",0,CoCO3
209,"['Cu', 'S', 'O']","[1, 1, 4]","[4, 4, -2]",0,CuSO4
210,"['Na', 'C', 'O', 'H']","[2, 1, 4, 2]","[1, 4, -2, 1]",0,Na2H2CO4
211,"['O', 'Mn']","[3, 1]","[-2.0, 0.0]",-6,MnO3
212,"['Co', 'O']","[1, 2]","[4, -2]",0,CoO2
213,"['Ba', 'P', 'O']","[1, 2, 6]","[2, 5, -2]",0,Ba(PO3)2
214,"['Mg', 'H']","[1, 2]","[2.0, -1]",0,MgH2
215,"['Na', 'S', 'P']","[3, 4, 1]","[1, -2, 5]",0,Na3PS4
216,"['Mg', 'P', 'O']","[2, 2, 7]","[2, 5, -2]",0,Mg2P2O7
217,"['Ce', 'O']","[1, 1]","[2, -2]",0,CeO
218,"['Sn', 'O']","[1, 1]","[2, -2]",0,SnO
219,"['Rb', 'Br']","[1, 1]","[1, -1]",0,RbBr
220,"['Er', 'O']","[2, 3]","[3, -2]",0,Er2O3
221,['U'],[1],[0],0,U
222,"['Cs', 'S']","[2, 1]","[1, -2]",0,Cs2S
223,"['Sn', 'P', 'O']","[1, 2, 7]","[4, 5, -2]",0,SnP2O7
224,"['Na', 'P', 'O']","[4, 2, 7]","[1, 5, -2]",0,Na4P2O7
225,"['Sc', 'F']","[1, 3]","[3, -1]",0,ScF3
226,"['Ca', 'H']","[1, 2]","[2.0, -1]",0,CaH2
227,"['O', 'Mn', 'N']","[9, 1, 3]","[-2.0, 3.0, 5.0]",0,Mn(NO3)3
228,"['Mo', 'Br']","[1, 2]","[2, -1]",0,MoBr2
229,"['Tb', 'O']","[2, 3]","[3, -2]",0,Tb2O3
230,"['Ni', 'C', 'O']","[2, 3, 9]","[3, 4, -2]",0,Ni2(CO3)3
231,"['Ba', 'S']","[1, 1]","[2, -2]",0,BaS
232,"['Na', 'I']","[1, 1]","[1, -1]",0,NaI
233,['Hf'],[1],[0],0,Hf
234,"['Cu', 'Cl']","[1, 2]","[2, -1]",0,CuCl2
235,"['O', 'Mn', 'Mn']","[3, 1, 1]","[-2.0, 2.0, 4.0]",0,Mn2O3
236,"['Ca', 'O']","[1, 2]","[2.0, -2.0]",-2,CaO2
237,"['Ru', 'P']","[1, 1]","[3, -3]",0,PRu
238,"['O', 'Tb', 'Tb']","[12, 4, 3]","[-2.0, 3.0, 4.0]",0,Tb7O12
239,"['Rh', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Rh(NO3)3
240,"['Cs', 'S', 'S']","[2, 1, 2]","[1, 2.0, -2.0]",0,Cs2S3
241,"['K', 'N', 'H']","[1, 1, 2]","[1, -3, 1]",0,KH2N
242,"['Te', 'O']","[1, 3]","[6, -2]",0,TeO3
243,"['Zn', 'C', 'O']","[1, 1, 3]","[2, 4, -2]",0,ZnCO3
244,"['Ge', 'O']","[1, 2]","[4, -2]",0,GeO2
245,"['Li', 'O']","[2, 2]","[1, -2.0]",-2,Li2O2
